Let My Record Rotate,Rob The Viking,https://open.spotify.com/track/5CI6ApjkdEHi7I2mhuYiQh,Beats to Pillage and Conquer By,Let My Record Rotate,Rob The Viking
Under Street Lights,Rob The Viking,https://open.spotify.com/track/4Kx76SxMx3gYyJLWGZ1p1N,Beats to Pillage and Conquer By,Under Street Lights,Rob The Viking
White Unicorn,Wolfmother,https://open.spotify.com/track/1ME7CDzGQgj5mAy4quOD6e,Wolfmother,White Unicorn,Wolfmother
Everybody's Got It,Stiffed,Not Found,Not Found,Not Found,Not Found
Brother (Album Version),Murder By Death,https://open.spotify.com/track/3iViEoT8flntSuXwQapZb4,In Bocca Al Lupo,Brother,Murder By Death
The White,Skopnik & D-Jaze,Not Found,Not Found,Not Found,Not Found
Fight Here,The Procussions,https://open.spotify.com/track/4Lk4C0nh8zj40MT5fyXwPB,5 Sparrows for 2 Cents,Fight Here,The Procussions
Heavy Artillery,Classified,https://open.spotify.com/track/2XN9dOPVVfyZcR2kjdVQPN,Trial and Error,Heavy Artillery,Classified
Jack And Jill,Richard Skopnik,Not Found,Not Found,Not Found,Not Found
Carbon Kid,Alpinestars,https://open.spotify.com/track/4mysnlkWfh6s7MyZKyeGQm,White Noise,Carbon Kid,Alpinestars
Chalk Dust Torture,Phish,https://open.spotify.com/track/7uoObDLwImf2JeifGEbALe,"The Clifford Ball (Live, August 16 & 17, 1996)","Chalk Dust Torture - Live at The Clifford Ball, August 16, 1996",Phish
When the Night Feels My Song,Bedouin Soundclash,https://open.spotify.com/track/5qMc9XB0lALs9VnQmY5qFv,Sounding a Mosaic,When the Night Feels My Song,Bedouin Soundclash
Grind,Swollen Members,https://open.spotify.com/track/5J1Nu2jp3OedphCUHO4JMp,Black Magic,Grind,Swollen Members
Carbon Kid,Alpinestars,https://open.spotify.com/track/4mysnlkWfh6s7MyZKyeGQm,White Noise,Carbon Kid,Alpinestars
Long Cool Woman (In A Black Dress),The Hollies,https://open.spotify.com/track/5UwbnHhjnbinJH8TefuQfN,Distant Light (1999 Remaster),Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies
What If,MG The Visionary,Not Found,Not Found,Not Found,Not Found
Brotherhood of the Drum (feat. Blake Lewis),KJ Sawka,https://open.spotify.com/track/4OAcMewDnOK6Hb6zyCxcz7,Cyclonic Steel,Brotherhood Of The Drum,KJ Sawka
In For The Kill,La Roux,https://open.spotify.com/track/6yRraj2ghJiIcVbQ6Vb59Q,La Roux,In For The Kill,La Roux
Raging River of Fear,Captain Beyond,https://open.spotify.com/track/2cfYAJ9CtQ96nl6izdlbW3,Captain Beyond,Raging River Of Fear,Captain Beyond
Don't Bring Me Down,Electric Light Orchestra,https://open.spotify.com/track/72ahyckBJfTigJCFCviVN7,Discovery,Don't Bring Me Down,Electric Light Orchestra
Analysis,Michele Vanni,Not Found,Not Found,Not Found,Not Found
I Saw You (Inst),Lili Roquelin,https://open.spotify.com/track/11hG6YpKX5O3w2H31jcP0Z,2008 EP (Deluxe Edition),I Saw You,Lili Roquelin
Mesmeric Revelation,Human Factor,Not Found,Not Found,Not Found,Not Found
How Do You Like Me Now,The Heavy,Not Found,Not Found,Not Found,Not Found
Fire,Kasabian,https://open.spotify.com/track/0Ln5tJyLX5qusquBOtq7wf,West Ryder Pauper Lunatic Asylum,Fire,Kasabian
Evolution Revolution Love,Tricky,https://open.spotify.com/track/44ow3QxZ5HrgZowcVnwTJ5,Blowback,Evolution Revolution Love,Tricky
The Desert Song,Edward Sharpe & The Magnetic Zeros,Not Found,Not Found,Not Found,Not Found
Bottles & Pipes,Human Factor,Not Found,Not Found,Not Found,Not Found
Morning of the Sun,Los Halos,https://open.spotify.com/track/2dyU13Yqas6enfHUUyDgBk,For Ramona...,Morning of the Sun,Los Halos
The Ultimate Run,"Matt Reardon, Jaco Caraco & Jono Brown",Not Found,Not Found,Not Found,Not Found
