Poltergeist,The Coasts
Stayin' Alive,The Bee Gees
Duck Season,DJ Babu
Loser,Beck
A Is for Action,Ima Robot
Get Your Hands Off My Woman,The Darkness
Air,Sparta
The S,Statik
My My Metrocard,Le Tigre
Rhythm,AWOL One & Daddy Kev
This Celluloid Dream,AFI
Ruby Soho,Rancid
Yellow,J Girls
Dream On,Depeche Mode
Today,Junkie XL
(feat. Keri Hilson & D.O.E.),Timbland
The Second Coming,Juelz Santana + Just Blaze
Down Down Down,The Presets
From Out of Nowhere,Faith No More
Track 2,Murder Da kritikz
This Is a Sight We Had One Day from the High Mountain,Maserati
Oh Yeah,Yello
On the Edge of Something Beautiful (at 12AM),Every Move a Picture
Mr. right,Mickey Avalon
Boom Shaka Laka,Apache Indian
Addicted,The Frail
Green Eyed Lady,Sugarloaf
Hysteria,Muse
Cross Eyed Mary,Jethro Tull
Horse Whipper,ASG
Please Don't Let Me Be Misunderstood,Nina Simone
Life is a Highway,Tom Cochrane
Rock 'N' Roll High School,The Ramones
Tom Sawyer,Deadsy
Slayed,Overseer
City of Angels,The Distillers
Wanna Be a Baller,Lil' Troy
Put It Down,Spiderbait
Waiting Room,Fugazi
Paranoia,Swollen Members
Saccharine,Good Riddance
Dealin' with the Archives,Greyboy
Yesterday's Headlines,Good Riddance
Ambush,Swollen Members
The Mob Goes Wild,Clutch
Picky,Spiderbait
Crawl Through the Darkness,The Von Bondies
Tonite,Spiderbait
Golden Lock Pick,Gomez
Think,Dynamo Productions
Destroy,Humble Gods
Cadillac Rock Box,Anthrax
San Berdoo Sunburn,Eagles Of Death Metal
Finding the Balance,Kevin MacLeod
Also Sprach Zarathustra,Kevin MacLeod
Everyday World Sample,Banks
The Moon Scene 7,Yppah
We Got More,Eskmo
Soul Beat,Myka 9
Home Sweet Home,Associated Production Music
Laid Back Guitares,Kevin MacLeod
Ten Thousand,Agnostic Mountain Choir
Deserter,Matthew Dear
Fee Fi Fo Fi Fum,Mark Boulle and The Haba Dudes
Onwards To The Wall,A Place to Bury Strangers
Gold Silver Bronze,Jack Pine & The Fire
Music for Funeral Home,Kevin MacLeod
Top Bunk,Gauntlet Hair
Onwards To The Wall,A Place to Bury Strangers
Fee Fi Fo Fi Fum,Mark Boulle and The Haba Dudes
Onwards To The Wall,A Place to Bury Strangers
Ridley,Ki:Theory
Three Portraits,Yppah
So Far Away,A Place to Bury Strangers
Eskmo,Cloudlight
Ride of the Valkyries,Wagner
Mining by Moonlight,Incomptech
Dawn Red,Etto Green
One,Yamantaka // Sonic Titan
Deer-Ree-Shee,The Black Angels
No Sugar In My Coffee,Caught a Ghost
Say My Name (feat. Zyra),ODESZA
Tumbling Dice,The Rolling Stones
S4,Breton
Armida,Lust for Youth
Faded (ODESZA Remix),Zhu
Everybody Knows,Iska Dhaaf
Alarm,Wise Blood
Memories That You Call (feat. Monsoonsiren),ODESZA
Outta My Mind,STRNGRS
Shruggy Ji,Red Baraat
Take Me To Church,Hozier
Ifuckingloveyou,Big Black Delta
North Side Gal,JD McPherson
